src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.199.129,192.168.199.128,1188,49681,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024-09-02 17:11:23,3999.7100830078125,57004.131616595136,1000.072484501669,500.0362422508345,500.0362422508345,2,2,120,108,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,60,54,57.0,3.0,9.0,40,40,20,2,1333.2366943359375,2000.0934600830078,0.0,942.7407275903176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,57.0,8206,8208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,54.0,0,2,2,120,108
192.168.199.129,192.168.199.128,1188,49679,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024-09-02 17:11:23,17009.973526000977,601764.6050038545,705.4684701100288,529.1013525825216,176.3671175275072,9,3,10012,224,1514.0,60.0,1112.4444444444443,603.2731297976087,106.0,54.0,74.66666666666667,22.5289936649544,1514,54,853.0,689.2133196623524,475015.0,180,60,20,9,1546.3612296364524,4000.425338745117,0.0,1076.7424548433978,17009.973526000977,5008.935928344727,988.9602661132812,2126.246690750122,1692.6755274844054,7000.446319580078,6001.23405456543,999.2122650146484,3500.223159790039,2501.0108947753906,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,853.0,8212,62499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9514.0,7.0,0.0,0.0,1358871.0841108765,0.0,1112.4444444444443,74.66666666666667,0,9,3,10012,224
192.168.199.128,192.168.199.129,49682,1188,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:23,66999.43542480469,140732.52916559912,865.6789364306659,328.36097588749396,537.3179605431719,22,36,6700,2729,1247.0,54.0,304.54545454545456,288.324899954694,161.0,60.0,75.80555555555556,21.767482685628483,1247,54,162.56896551724137,210.10712473509096,44145.00386444708,440,720,20,17,1175.4286916632402,9001.493453979492,0.0,1258.1663960320132,66999.43542480469,10012.86506652832,0.0,3190.44930594308,2017.7664869167727,65990.92483520508,13000.48828125,0.0,1885.4549952915736,2066.8180817972348,0,0,0,0,1,0,0,0,0,0,0,1.6363636363636365,162.56896551724137,64240,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.54545454545456,75.80555555555556,0,22,36,6700,2729
192.168.199.128,192.168.199.129,49683,1188,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:23,9999.275207519531,82705.99446828803,1200.086981402003,600.0434907010015,600.0434907010015,6,6,438,389,155.0,54.0,73.0,36.92334401612797,83.0,60.0,64.83333333333333,8.414603707576225,155,54,68.91666666666667,27.08769195696739,733.7430555555558,120,120,20,2,909.0250188654119,1008.7490081787109,0.0,287.5019302140076,9000.062942504883,3007.8887939453125,0.0,1800.0125885009766,1166.385420242179,8999.109268188477,3007.8887939453125,991.1060333251953,1799.8218536376953,753.0477901027793,0,0,0,0,1,0,0,0,0,0,0,1.0,68.91666666666667,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,4.0,0.0,11776.122341696535,73.0,64.83333333333333,0,6,6,438,389
