src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.122.251.51,10.3.9.4,59373,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,1998.6629486083984,117078.26983180246,1000.6689729213886,500.3344864606943,500.3344864606943,1,1,76,158,76.0,76.0,76.0,0.0,158.0,158.0,158.0,0.0,158,76,117.0,41.0,1681.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,117.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,158.0,0,1,1,76,158
10.122.251.51,10.3.9.4,53219,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,2004.384994506836,124726.53740930177,997.8122992744142,498.9061496372071,498.9061496372071,1,1,76,174,76.0,76.0,76.0,0.0,174.0,174.0,174.0,0.0,174,76,125.0,49.0,2401.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,125.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,174.0,0,1,1,76,174
10.122.251.51,10.3.9.4,62161,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,2004.384994506836,155658.7186868086,997.8122992744142,498.9061496372071,498.9061496372071,1,1,76,236,76.0,76.0,76.0,0.0,236.0,236.0,236.0,0.0,236,76,156.0,80.0,6400.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,156.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,236.0,0,1,1,76,236
10.122.251.51,10.3.9.4,63218,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,3999.2332458496094,77514.85870990819,500.09586264456897,250.04793132228448,250.04793132228448,1,1,71,239,71.0,71.0,71.0,0.0,239.0,239.0,239.0,0.0,239,71,155.0,84.0,7056.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,155.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,239.0,0,1,1,71,239
10.122.251.51,10.3.9.4,62898,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,5007.505416870117,50524.15902490121,399.4004666000095,199.70023330000475,199.70023330000475,1,1,71,182,71.0,71.0,71.0,0.0,182.0,182.0,182.0,0.0,182,71,126.5,55.5,3080.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,126.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,182.0,0,1,1,71,182
10.122.251.51,10.3.9.4,64485,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,4999.876022338867,62201.542320347144,400.0099184588241,200.00495922941204,200.00495922941204,1,1,70,241,70.0,70.0,70.0,0.0,241.0,241.0,241.0,0.0,241,70,155.5,85.5,7310.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,155.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,241.0,0,1,1,70,241
10.122.251.51,10.3.9.4,65450,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,4998.683929443359,54014.21730420681,400.1053133644949,200.05265668224746,200.05265668224746,1,1,70,200,70.0,70.0,70.0,0.0,200.0,200.0,200.0,0.0,200,70,135.0,65.0,4225.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,135.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,200.0,0,1,1,70,200
10.122.251.51,10.3.9.4,61213,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,3007.650375366211,104067.94704716608,664.9709076496234,332.4854538248117,332.4854538248117,1,1,71,242,71.0,71.0,71.0,0.0,242.0,242.0,242.0,0.0,242,71,156.5,85.5,7310.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,156.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,242.0,0,1,1,71,242
10.122.251.51,10.3.9.4,62165,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,5006.551742553711,54328.81032430116,399.4765465022144,199.7382732511072,199.7382732511072,1,1,71,201,71.0,71.0,71.0,0.0,201.0,201.0,201.0,0.0,201,71,136.0,65.0,4225.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,136.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,201.0,0,1,1,71,201
10.122.251.51,10.3.9.4,60211,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,17,2024-09-02 17:16:18,3005.7430267333984,104133.98524629175,665.3928769731102,332.6964384865551,332.6964384865551,1,1,71,242,71.0,71.0,71.0,0.0,242.0,242.0,242.0,0.0,242,71,156.5,85.5,7310.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,156.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,242.0,0,1,1,71,242
