src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.199.128,192.168.199.1,62661,53,00:0c:29:1d:50:0e,00:50:56:c0:00:01,17,2024/9/2 17:11,20128.25012,22356.63792,248.407088,248.407088,0,5,0,450,0,90,90,90,0,0,0,0,0,90,90,90,0,0,40,0,8,5,5032.062531,12132.64465,1000.642776,4356.294566,20128.25012,12132.64465,1000.642776,5032.062531,4356.294566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,240,5,0,0,11923.54023,0,90,0,0,5,0,450,0,Antylamus
192.168.199.129,192.168.199.1,56671,53,00:0c:29:fd:45:77,00:50:56:c0:00:01,17,2024/9/2 17:11,2165.079117,105307.93,1385.630657,1385.630657,0,3,0,228,0,76,76,76,0,0,0,0,0,76,76,76,0,0,24,0,8,3,1082.539558,1610.279083,554.8000336,527.7395248,2165.079117,1610.279083,554.8000336,1082.539558,527.7395248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,3,0,228,0,Antylamus
192.168.199.128,192.168.199.1,52702,53,00:0c:29:1d:50:0e,00:50:56:c0:00:01,17,2024/9/2 17:11,2687.215805,84846.18153,1116.397125,1116.397125,0,3,0,228,0,76,76,76,0,0,0,0,0,76,76,76,0,0,24,0,8,3,1343.607903,2131.938934,555.2768707,788.3310318,2687.215805,2131.938934,555.2768707,1343.607903,788.3310318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,3,0,228,0,Antylamus
192.168.199.129,192.168.199.1,52932,53,00:0c:29:fd:45:77,00:50:56:c0:00:01,17,2024/9/2 17:11,2650.022507,101885.9271,1132.065857,1132.065857,0,3,0,270,0,90,90,90,0,0,0,0,0,90,90,90,0,0,24,0,8,3,1325.011253,2141.237259,508.7852478,816.2260056,2650.022507,2141.237259,508.7852478,1325.011253,816.2260056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,3,0,270,0,Antylamus
192.168.199.128,192.168.199.129,49674,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,59994.22073,734470.745,816.7453365,200.0192661,616.7260704,12,37,829,43235,130,54,69.08333333,27.12458397,1514,60,1168.513514,610.8149462,1514,54,899.2653061,710.9359389,505429.9092,240,740,20,6,1249.879599,8998.87085,0,1266.35774,59994.22073,19000.29182,999.6891022,5454.020067,5467.553263,53995.8477,9989.976883,0,1499.884658,1571.067033,0,0,0,0,1,0,0,0,0,0,0,3.083333333,899.2653061,1026,8210,0,0,0,0,0,0,0,0,0,0,41164,30,0,1286506.586,69.08333333,1168.513514,0,12,37,829,43235,cam
192.168.199.129,192.168.199.128,82,49675,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024/9/2 17:11,5992.412567,72258.04217,1168.143869,667.5107822,500.6330867,4,3,271,162,91,60,67.75,13.42339376,54,54,54,0,91,54,61.85714286,12.21741814,149.2653061,80,60,20,4,998.7354279,1000.881195,993.2518005,2.662044243,4991.531372,2000.808716,999.6891022,1663.843791,469.6452393,4994.630814,3000.497818,1994.132996,2497.315407,503.1824112,0,0,0,0,1,0,0,0,0,0,0,0.75,61.85714286,1026,8212,0,0,0,0,0,0,0,0,55,4,0,0,11018.66259,0,67.75,54,0,4,3,271,162,cam
192.168.199.128,192.168.199.129,49676,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,4006.624222,88353.6814,1497.520024,998.3466825,499.1733413,4,2,228,126,66,54,57,5.196152423,66,60,63,3,66,54,59,5.385164807,29,80,40,20,0,801.3248444,1006.603241,0,400.6869195,4006.624222,1994.371414,1005.649567,1335.541407,465.8633282,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,59,64240,8212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,63,0,4,2,228,126,cam
192.168.199.129,192.168.199.128,9999,49688,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024/9/2 17:11,404000.9975,300254.2091,1017.324221,559.4045593,457.9196614,226,185,17462,103841,197,60,77.26548673,31.09634406,39344,54,561.3027027,2961.641595,39344,54,295.1411192,2001.670137,4006683.338,4520,3700,20,226,985.3682867,2012.014389,0,394.7622657,403000.1163,4999.160767,0,1791.111628,656.9076169,403000.3548,5993.366241,0,2190.219319,891.8713041,0,0,0,0,1,0,0,0,0,0,0,0.818584071,295.1411192,8212,0,0,0,0,0,0,0,0,0,113.9166667,4.333333333,0,0,21695.05894,0,77.26548673,561.3027027,0,226,185,17462,103841,files
192.168.199.128,192.168.199.129,49692,9999,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,115175.2472,126450.7814,1007.160851,468.8507411,538.3101101,54,62,9860,4704,2218,54,182.5925926,377.3611355,137,60,75.87096774,25.48717823,2218,54,125.5517241,263.5741846,69471.35077,1080,1240,20,30,1001.523889,2016.305923,0,417.8476776,114166.975,4000.18692,998.7354279,2154.093868,802.2910546,114169.5976,4002.332687,988.7218475,1871.632748,702.5613303,0,0,0,0,1,0,0,0,0,0,0,1.148148148,125.5517241,64240,8207,0,0,0,0,0,0,0,0,0,0,135.3333333,4.333333333,0,21355.23036,182.5925926,75.87096774,0,54,62,9860,4704,files
192.168.199.129,192.168.199.128,1188,49681,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024/9/2 17:11,3999.710083,57004.13162,1000.072485,500.0362423,500.0362423,2,2,120,108,60,60,60,0,54,54,54,0,60,54,57,3,9,40,40,20,2,1333.236694,2000.09346,0,942.7407276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,57,8206,8208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,2,2,120,108,files
192.168.199.129,192.168.199.128,1188,49679,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024/9/2 17:11,17009.97353,601764.605,705.4684701,529.1013526,176.3671175,9,3,10012,224,1514,60,1112.444444,603.2731298,106,54,74.66666667,22.52899366,1514,54,853,689.2133197,475015,180,60,20,9,1546.36123,4000.425339,0,1076.742455,17009.97353,5008.935928,988.9602661,2126.246691,1692.675527,7000.44632,6001.234055,999.212265,3500.22316,2501.010895,0,0,0,0,1,0,0,0,0,0,0,0.333333333,853,8212,62499,0,0,0,0,0,0,0,0,9514,7,0,0,1358871.084,0,1112.444444,74.66666667,0,9,3,10012,224,files
192.168.199.128,192.168.199.129,49682,1188,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,66999.43542,140732.5292,865.6789364,328.3609759,537.3179605,22,36,6700,2729,1247,54,304.5454545,288.3249,161,60,75.80555556,21.76748269,1247,54,162.5689655,210.1071247,44145.00386,440,720,20,17,1175.428692,9001.493454,0,1258.166396,66999.43542,10012.86507,0,3190.449306,2017.766487,65990.92484,13000.48828,0,1885.454995,2066.818082,0,0,0,0,1,0,0,0,0,0,0,1.636363636,162.5689655,64240,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.5454545,75.80555556,0,22,36,6700,2729,files
192.168.199.128,192.168.199.129,49683,1188,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,9999.275208,82705.99447,1200.086981,600.0434907,600.0434907,6,6,438,389,155,54,73,36.92334402,83,60,64.83333333,8.414603708,155,54,68.91666667,27.08769196,733.7430556,120,120,20,2,909.0250189,1008.749008,0,287.5019302,9000.062943,3007.888794,0,1800.012589,1166.38542,8999.109268,3007.888794,991.1060333,1799.821854,753.0477901,0,0,0,0,1,0,0,0,0,0,0,1,68.91666667,64240,0,0,0,0,0,0,0,0,0,0,0,47,4,0,11776.12234,73,64.83333333,0,6,6,438,389,files
192.168.199.129,192.168.199.128,9999,49683,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024/9/2 17:11,91999.76921,94891.54239,978.2633236,652.1755491,326.0877745,60,30,3600,5130,60,60,60,0,171,171,171,0,171,60,97,52.32590181,2738,1200,600,20,60,1033.705272,2017.736435,0,485.2959254,91999.76921,3000.020981,0,1559.318122,694.5865656,91000.79536,5008.69751,1995.563507,3137.958461,818.9193947,0,0,0,0,1,0,0,0,0,0,0,0.5,97,8212,8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,171,0,60,30,3600,5130,host_information
192.168.199.128,192.168.199.129,49677,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024/9/2 17:11,60996.29402,439764.4223,1049.244073,524.6220367,524.6220367,32,32,24796,2028,5828,54,774.875,1848.931376,87,60,63.375,8.929410675,5828,54,419.125,1354.943374,1835871.547,640,640,20,28,968.1951432,2008.43811,0,354.487662,59996.12808,4000.425339,0,1935.35897,799.2728767,59999.70436,3005.981445,992.0597076,1935.474334,668.3434737,0,0,0,0,1,0,0,0,0,0,0,1,419.125,8212,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774.875,63.375,0,32,32,24796,2028,Keyloger
192.168.199.129,192.168.199.128,9999,49692,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024/9/2 17:11,62607.7652,123451.1402,1006.264955,575.0085454,431.2564091,36,27,2645,5084,117,60,73.47222222,23.51652624,623,54,188.2962963,221.0808156,623,54,122.6825397,156.4993864,24492.05795,720,540,20,36,1009.802664,1730.918884,513.0767822,308.3608714,62607.7652,3206.253052,516.4146423,1788.793291,627.837109,61005.35393,3705.024719,1523.49472,2346.359766,641.6952472,0,0,0,0,1,0,0,0,0,0,0,0.75,122.6825397,8211,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.47222222,188.2962963,0,36,27,2645,5084,Keyloger
10.122.251.51,10.3.9.5,61067,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,16999.72153,45294.85961,647.069423,352.946958,294.122465,6,5,372,398,88,54,62,12.38278375,152,60,79.6,36.27450896,152,54,70,27.54170392,758.5454545,120,100,20,2,1699.972153,3000.020981,0,899.860668,16999.72153,7000.207901,0,3399.944305,2245.095115,12000.79918,5999.803543,2000.09346,3000.199795,1731.822056,0,0,0,0,1,0,0,0,0,0,0,0.833333333,70,64240,58,0,0,0,0,0,0,0,0,0,0,116,4,0,19330.12571,62,79.6,0,6,5,372,398,normal
10.122.251.51,10.3.9.5,61066,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,18998.38448,38845.40819,578.9965991,315.8163268,263.1802723,6,5,372,366,88,54,62,12.38278375,120,60,73.2,23.51510153,120,54,67.09090909,19.1332863,366.0826446,120,100,20,2,1899.838448,3000.974655,999.4506836,700.2526432,18998.38448,9001.255035,999.6891022,3799.676895,2786.311172,13999.93896,5999.326706,1999.378204,3499.984741,1658.048535,0,0,0,0,1,0,0,0,0,0,0,0.833333333,67.09090909,64240,58,0,0,0,0,0,0,0,0,0,0,84,4,0,10499.19647,62,73.2,0,6,5,372,366,normal
10.122.251.51,20.205.243.166,61036,443,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,48633.33702,2344.071104,41.12405446,20.56202723,20.56202723,1,1,54,60,54,54,54,0,60,60,60,0,60,54,57,3,9,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,57,512,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,60,0,1,1,54,60,normal
10.122.251.51,20.10.16.51,61033,443,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,65633.53539,2559.667082,45.70834075,30.47222717,15.23611358,2,1,108,60,54,54,54,0,60,60,60,0,60,54,56,2.828427125,8,40,20,20,0,32816.76769,64633.60786,999.9275208,31816.84017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,56,509,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,60,0,2,1,108,60,normal
10.122.251.51,140.82.112.21,60982,443,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,73633.43239,1548.209778,27.16157505,13.58078752,13.58078752,1,1,54,60,54,54,54,0,60,60,60,0,60,54,57,3,9,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,57,512,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,60,0,1,1,54,60,normal
101.72.217.138,10.122.251.51,443,60646,10:4f:58:6c:24:00,a0:02:a5:91:85:93,6,2024/9/2 17:11,5003.69072,79741.13956,1199.114881,799.4099204,399.7049602,4,2,291,108,93,60,72.75,13.80896448,54,54,54,0,93,54,66.5,14.32654878,205.25,80,40,20,4,1000.738144,2003.669739,0,633.6166441,5003.69072,3003.835678,999.9275208,1667.896907,944.6513646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.5,71,512,0,0,0,0,0,0,0,0,75,4,0,0,14988.93601,0,72.75,54,0,4,2,291,108,normal
104.215.41.138,10.122.251.51,443,60650,10:4f:58:6c:24:00,a0:02:a5:91:85:93,6,2024/9/2 17:11,292594.9097,1363.660087,20.50616672,13.67077782,6.835388908,4,2,291,108,93,60,72.75,13.80896448,54,54,54,0,93,54,66.5,14.32654878,205.25,80,40,20,4,58518.98193,288601.8753,993.013382,115041.4467,292594.9097,290594.8162,999.9275208,97531.63656,136516.2835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.5,63,512,0,0,0,0,0,0,0,0,75,4,0,0,256.327084,0,72.75,54,0,4,2,291,108,normal
10.122.251.51,10.3.9.5,61070,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,35000.08583,23171.37175,314.2849436,171.428151,142.8567925,6,5,368,443,84,54,61.33333333,10.99494833,197,60,88.6,54.24979263,197,54,73.72727273,39.84992508,1588.016529,120,100,20,2,3500.008583,9999.752045,0,3232.872867,35000.08583,17999.64905,997.543335,7000.017166,5933.019296,31000.37575,16000.50926,0,7750.093937,7293.230039,0,0,0,0,1,0,0,0,0,0,0,0.833333333,73.72727273,64240,58,0,0,0,0,0,0,0,0,0,0,161,4,0,10733.42887,61.33333333,88.6,0,6,5,368,443,normal
10.122.251.51,10.3.9.5,61071,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,38000.10681,24710.45686,289.4728706,157.894293,131.5785775,6,5,368,571,84,54,61.33333333,10.99494833,325,60,114.2,105.4256136,325,54,85.36363636,76.22964435,5810.958678,120,100,20,2,3800.010681,8999.586105,995.1591492,2483.681603,38000.10681,17993.927,999.4506836,7600.021362,5815.38372,32000.06485,15999.55559,2994.537354,8000.016212,4950.245016,0,0,0,0,1,0,0,0,0,0,0,0.833333333,85.36363636,64240,58,0,0,0,0,0,0,0,0,0,0,289,4,0,18061.92511,61.33333333,114.2,0,6,5,368,571,normal
10.122.251.51,10.3.9.5,61072,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,36000.01335,20499.9924,305.5554422,166.6666049,138.8888374,6,5,372,366,88,54,62,12.38278375,120,60,73.2,23.51510153,120,54,67.09090909,19.1332863,366.0826446,120,100,20,2,3600.001335,11999.60709,0,3497.694136,36000.01335,18007.27844,0,7200.00267,6275.54229,31002.2831,16999.72153,999.9275208,7750.570774,6608.323364,0,0,0,0,1,0,0,0,0,0,0,0.833333333,67.09090909,64240,58,0,0,0,0,0,0,0,0,0,0,84,4,0,5998.902385,62,73.2,0,6,5,372,366,normal
10.122.251.51,10.3.9.5,61073,53,a0:02:a5:91:85:93,10:4f:58:6c:24:00,6,2024/9/2 17:11,39000.74959,19743.21028,282.0458611,153.8431969,128.2026641,6,5,372,398,88,54,62,12.38278375,152,60,79.6,36.27450896,152,54,70,27.54170392,758.5454545,120,100,20,2,3900.074959,13000.24986,962.7342224,4659.597222,39000.74959,18002.27165,999.9275208,7800.149918,6969.323049,25037.7655,15999.79401,997.7817535,6259.441376,6139.91601,0,0,0,0,1,0,0,0,0,0,0,0.833333333,70,64240,58,0,0,0,0,0,0,0,0,0,0,116,4,0,12834.73842,62,79.6,0,6,5,372,398,normal
