src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.199.128,192.168.199.129,49674,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:21,59994.22073364258,734470.7450344549,816.7453364807617,200.01926607692124,616.7260704038405,12,37,829,43235,130.0,54.0,69.08333333333333,27.124583970183863,1514.0,60.0,1168.5135135135135,610.8149461711245,1514,54,899.265306122449,710.9359388893616,505429.9092044981,240,740,20,6,1249.8795986175537,8998.870849609375,0.0,1266.3577398695575,59994.22073364258,19000.29182434082,999.6891021728516,5454.020066694779,5467.553263309432,53995.84770202637,9989.97688293457,0.0,1499.8846583896213,1571.067033134168,0,0,0,0,1,0,0,0,0,0,0,3.0833333333333335,899.265306122449,1026,8210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41164.0,30.0,0.0,1286506.5859139818,69.08333333333333,1168.5135135135135,0,12,37,829,43235
192.168.199.129,192.168.199.128,82,49675,00:0c:29:fd:45:77,00:0c:29:1d:50:0e,6,2024-09-02 17:11:21,5992.412567138672,72258.04217394764,1168.1438688628948,667.5107822073685,500.63308665552637,4,3,271,162,91.0,60.0,67.75,13.423393758658799,54.0,54.0,54.0,0.0,91,54,61.857142857142854,12.217418144700172,149.26530612244898,80,60,20,4,998.7354278564453,1000.8811950683594,993.2518005371094,2.6620442429294946,4991.5313720703125,2000.8087158203125,999.6891021728516,1663.8437906901042,469.645239272058,4994.630813598633,3000.497817993164,1994.1329956054688,2497.3154067993164,503.18241119384766,0,0,0,0,1,0,0,0,0,0,0,0.75,61.857142857142854,1026,8212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,0.0,11018.66259075277,0.0,67.75,54.0,0,4,3,271,162
192.168.199.128,192.168.199.129,49676,82,00:0c:29:1d:50:0e,00:0c:29:fd:45:77,6,2024-09-02 17:11:21,4006.624221801758,88353.68140434395,1497.5200238024397,998.3466825349599,499.17334126747994,4,2,228,126,66.0,54.0,57.0,5.196152422706632,66.0,60.0,63.0,3.0,66,54,59.0,5.385164807134504,29.0,80,40,20,0,801.3248443603516,1006.6032409667969,0.0,400.68691945456493,4006.624221801758,1994.3714141845703,1005.6495666503906,1335.5414072672527,465.86332823027266,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,59.0,64240,8212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,63.0,0,4,2,228,126
