src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.177.224.142,60.167.130.134,50565,443,be:4e:9c:b1:36:1c,94:db:da:3e:8f:cf,6,2024-09-02 13:50:41,4006.3858032226562,404853.67103070696,748.8045703403951,499.20304689359676,249.60152344679838,2,1,120,1502,66.0,54.0,60.0,6.0,1502.0,1502.0,1502.0,0.0,1502,54,540.6666666666666,679.7829719027161,462104.88888888893,40,20,20,0,2003.1929016113281,2005.5770874023438,2000.8087158203125,2.384185791015625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,540.6666666666666,260,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1502.0,0,2,1,120,1502
60.167.130.134,10.177.224.142,443,50562,94:db:da:3e:8f:cf,be:4e:9c:b1:36:1c,6,2024-09-02 13:50:41,0.0,0,0,0,0,1,0,1502,0,1502.0,1502.0,1502.0,0.0,0.0,0.0,0.0,0.0,1502,1502,1502.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1502.0,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1502.0,0.0,0,1,0,1502,0
60.167.130.134,10.177.224.142,443,50566,94:db:da:3e:8f:cf,be:4e:9c:b1:36:1c,6,2024-09-02 13:50:41,0.0,0,0,0,0,1,0,1502,0,1502.0,1502.0,1502.0,0.0,0.0,0.0,0.0,0.0,1502,1502,1502.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,1502.0,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1502.0,0.0,0,1,0,1502,0
