len_mean,len_std,time_mean,time_std,num_unkown,IP,UDP,DNS ANS,DNS Qry,IPV6
1095.3473263368317,1002.3745479793865,3.5667166416791605,47.692825251542146,0,2000,0,0,0,0,0,1264
60.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0
66.0,0.0,31.76,256.1824,0,49,0,0,0,0,0,0
1311.7752432859797,1244.1485568118114,32.784171481920716,352.1068291010558,0,237785,0,0,0,0,0,0
63.57142857142857,8.748177652797064,27.61904761904762,494.3310657596373,0,20,0,0,0,0,0,8
68.58333333333333,8.567947375084783,7.75,13.520833333333334,0,11,0,0,0,0,0,1
66.0,0.0,7.571428571428571,23.10204081632653,0,6,0,0,0,0,0,0
72.2,12.4,0.0,0.0,0,4,0,0,0,0,0,0
117.01959847036329,51.181266909281916,49.80927342256214,55.3847514797334,0,4183,4172,0,2152,0,0,0
60.0,0.0,24.404761904761905,260.66950113378687,0,41,0,0,0,0,0,0
60.0,0.0,30.428571428571427,417.38775510204084,0,13,0,0,0,0,0,0
60.0,0.0,31.575,384.49437500000005,0,39,0,0,0,0,0,0
336.8703703703704,518.9469767496873,31.75925925925926,209.40500685871055,0,53,0,0,0,0,0,14
1428.2511415525114,1167.9838743593752,10.306506849315069,44.15662432757866,0,1751,0,0,0,0,0,1237
66.0,0.0,31.0,377.3333333333333,0,14,0,0,0,0,0,0
66.96875,5.393771726491583,33.4375,385.68359375,0,31,0,0,0,0,0,1
66.0,0.0,30.80851063829787,374.3250339520146,0,93,0,0,0,0,0,0
83.33333333333333,16.49915822768611,29.0,841.0,0,5,0,0,0,0,0,3
66.0,0.0,6.0,24.0,0,4,0,0,0,0,0,0
68.38461538461539,8.260550005328492,24.76923076923077,226.6390532544379,0,12,0,0,0,0,0,1
66.0,0.0,31.2,375.4933333333333,0,14,0,0,0,0,0,0
165.0,0.0,15.875,430.609375,0,103,103,0,0,0,0,0
66.0,0.0,9.285714285714286,38.775510204081634,0,6,0,0,0,0,0,0
67.72222222222223,7.100904133008193,13.833333333333334,184.13888888888889,0,17,0,0,0,0,0,1
66.0,0.0,30.857142857142858,423.265306122449,0,13,0,0,0,0,0,0
66.0,0.0,30.857142857142858,423.265306122449,0,13,0,0,0,0,0,0
67.9375,7.50390523327687,14.9375,195.55859375,0,15,0,0,0,0,0,1
66.0,0.0,31.96153846153846,369.03698224852076,0,25,0,0,0,0,0,0
90.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0
165.0,0.0,0.0,0.0,0,12,12,0,0,0,0,0
84.11111111111111,35.634287829782735,30.962962962962962,263.73936899862827,0,26,0,0,0,0,0,7
66.0,0.0,17.11111111111111,132.09876543209876,0,8,0,0,0,0,0,0
69.83333333333333,12.713728363029032,31.5,317.7083333333333,0,47,0,0,0,0,0,4
66.0,0.0,31.142857142857142,423.265306122449,0,13,0,0,0,0,0,0
130.0,131.99242402501744,31.105263157894736,600.5152354570636,0,56,0,0,0,0,0,18
66.0,0.0,30.857142857142858,408.69387755102036,0,13,0,0,0,0,0,0
64.16666666666667,9.316949906249123,6.0,18.0,0,5,0,0,0,0,0,1
66.0,0.0,16.666666666666668,133.33333333333334,0,8,0,0,0,0,0,0
60.54651162790697,5.03858824991588,31.25581395348837,361.74851270957276,0,85,0,0,0,0,0,1
66.0,0.0,16.333333333333332,124.66666666666667,0,8,0,0,0,0,0,0
66.0,0.0,16.444444444444443,127.58024691358024,0,8,0,0,0,0,0,0
66.0,0.0,16.666666666666668,133.33333333333334,0,8,0,0,0,0,0,0
281.59574468085106,477.3170880401033,2.106382978723404,5.32910819375283,0,46,0,0,0,0,0,14
69.8,13.862178760930766,0.0,0.0,0,9,0,0,0,0,0,1
104.96855345911949,41.85110194947687,21.09433962264151,665.2175151299393,0,317,317,0,163,0,0,0
127.07852564102564,47.16199157275185,45.29807692307692,167.65794501972385,0,1247,1247,0,623,0,0,0
255.96969696969697,338.26674832315445,22.636363636363637,318.6556473829201,0,32,0,0,0,0,0,0
66.0,0.0,31.482758620689655,388.52556480380497,0,28,0,0,0,0,0,0
814.5950155763239,1002.9358700096943,9.663551401869158,55.81203598567561,0,320,0,0,0,0,0,2
150.5,200.8629300460059,5.333333333333333,28.555555555555554,0,11,0,0,0,0,0,0
736.9903381642512,985.4177220159838,13.14170692431562,317.60632816531444,0,620,0,0,0,0,0,396
66.0,0.0,30.571428571428573,417.38775510204084,0,13,0,0,0,0,0,0
66.0,0.0,28.513513513513512,323.655222790358,0,36,0,0,0,0,0,0
60.0,0.0,32.125,387.959375,0,39,0,0,0,0,0,0
66.0,0.0,31.1875,361.15234375,0,15,0,0,0,0,0,0
60.0,0.0,33.13953488372093,411.6549486208761,0,42,0,0,0,0,0,0
66.0,0.0,11.428571428571429,69.38775510204081,0,6,0,0,0,0,0,0
64.8,2.4,7.4,43.04,0,4,0,0,0,0,0,0
66.0,0.0,6.0,24.0,0,4,0,0,0,0,0,0
69.4,18.8,0.0,0.0,0,4,0,0,0,0,0,0
69.4,18.8,0.0,0.0,0,4,0,0,0,0,0,0
67.83333333333333,17.515865823748353,0.0,0.0,0,5,0,0,0,0,0,0
153.93333333333334,294.3214720146814,31.42222222222222,329.7550617283951,0,44,0,0,0,0,0,4
192.03333333333333,250.93431854216794,23.433333333333334,187.84555555555556,0,29,0,0,0,0,0,7
64.16666666666667,9.316949906249123,0.0,0.0,0,5,0,0,0,0,0,1
60.0,0.0,0.0,0.0,0,8,0,0,0,0,0,0
96.66666666666667,21.684607956387456,29.0,841.0,0,5,0,0,0,0,0,3
