layerInfo,len,protocol,tcp_seq_number,tcp_ack_number,tcp_window_size,tcp_flags,tcp_header_length,tcp_checksum,tcp_urgent_pointer,udp_length,udp_checksum,icmp_type,icmp_code,icmp_checksum,icmp_id,icmp_seq,icmp_payload,src,dst,RelativeSeconds,tcp_pay_load_action,udp_pay_load_action
0.0,54.0,0.0,420664258.0,200846625.0,260.0,0.0,5.0,38708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1.0,1502.0,0.0,1954853732.0,270750816.0,83.0,0.0,5.0,31533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1502.0,0.0,200842281.0,420664258.0,83.0,0.0,5.0,29144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,1502.0,0.0,1351615893.0,2299289217.0,83.0,0.0,5.0,45607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
0.0,66.0,0.0,420664258.0,200846625.0,260.0,0.0,8.0,2866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
