src,sport,dst,dport,fiat_mean,fiat_min,fiat_max,fiat_std,biat_mean,biat_min,biat_max,biat_std,diat_mean,diat_min,diat_max,diat_std,duration,fwin_total,fwin_mean,fwin_min,fwin_max,fwin_std,bwin_total,bwin_mean,bwin_min,bwin_max,bwin_std,dwin_total,dwin_mean,dwin_min,dwin_max,dwin_std,fpnum,bpnum,dpnum,bfpnum_rate,fpnum_s,bpnum_s,dpnum_s,fpl_total,fpl_mean,fpl_min,fpl_max,fpl_std,bpl_total,bpl_mean,bpl_min,bpl_max,bpl_std,dpl_total,dpl_mean,dpl_min,dpl_max,dpl_std,bfpl_rate,fpl_s,bpl_s,dpl_s,fin_cnt,syn_cnt,rst_cnt,pst_cnt,ack_cnt,urg_cnt,cwe_cnt,ece_cnt,fwd_pst_cnt,fwd_urg_cnt,bwd_pst_cnt,bwd_urg_cnt,fp_hdr_len,bp_hdr_len,dp_hdr_len,f_ht_len,b_ht_len,d_ht_len
10.133.27.160,52255,111.9.246.53,443,0.012584,0.000047,0.053226,0.017848,0.008338,0.000000,0.053217,0.015709,0.004894,0.000000,0.053151,0.012279,0.088187,67842,8480.25,514,64240,21075.204529,106435,9675.909091,4090,65535,17664.19553,174277,9172.473684,514,65535,19183.596497,8,11,19,1.374828,90.716319,124.734938,215.451257,1301,162.625,54,782,235.8002,5523,502.090909,60,1354,541.236372,6824,359.157895,54,1354,470.209837,4.245193,14752.741334,62628.278544,77381.019878,0,2,0,7,18,0,0,0,2,0,5,0,432,594,1026,0.331797,0.107531,0.150352
10.133.27.160,52256,117.180.236.30,443,0.133021,0.000000,5.102844,0.686332,0.101402,0.000000,5.142754,0.610104,0.057301,0.000000,5.102844,0.455091,7.449290,93017,1631.877193,511,64240,8366.362437,363739,4915.391892,4068,65535,7094.989612,456756,3486.687023,511,65535,7844.868474,57,74,131,1.298223,7.651736,9.933833,17.585569,15804,277.263158,54,1288,378.406656,19259,260.256757,60,1354,344.766002,35063,267.656489,54,1354,359.889079,1.218615,2121.544469,2585.347060,4706.891529,0,2,0,66,130,0,0,0,19,0,47,0,3078,3996,7074,0.194748,0.207477,0.201751
10.133.27.160,52257,202.115.39.6,53,0.008982,0.000065,0.037751,0.01334,0.012000,0.000000,0.038264,0.015676,0.004899,0.000000,0.037668,0.010772,0.053993,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,129.646436,92.604597,222.251033,435,62.142857,54,97,14.797959,605,121.0,60,363,121.002479,1040,86.666667,54,363,84.085605,1.390801,8056.599930,11205.156224,19261.756154,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.866972,0.445545,0.623077
10.133.27.160,52258,202.115.39.6,53,0.003443,0.000030,0.008743,0.003388,0.003812,0.000000,0.009168,0.003965,0.001878,0.000000,0.008673,0.002948,0.020758,453514,64787.714286,64240,65518,632.445981,146000,29200.0,29200,29200,0.0,599514,49959.5,29200,65518,17551.627866,7,5,12,0.714184,337.219385,240.870989,578.090374,435,62.142857,54,97,14.797959,605,121.0,60,363,121.002479,1040,86.666667,54,363,84.085605,1.390801,20955.776086,29145.389729,50101.165815,2,2,0,3,11,0,0,0,2,0,1,0,378,270,648,0.866972,0.445545,0.623077
10.133.27.160,52259,202.115.39.6,53,0.004106,0.000078,0.008995,0.003496,0.003812,0.000000,0.009168,0.003965,0.002053,0.000000,0.008873,0.0031,0.020632,385236,64206.0,64138,64240,48.083261,146000,29200.0,29200,29200,0.0,531236,48294.181818,29200,64240,17430.559673,6,5,11,0.833194,290.810392,242.341993,533.152385,381,63.5,54,97,15.575087,398,79.6,60,156,38.207853,779,70.818182,54,156,29.328293,1.044617,18466.459868,19290.422644,37756.882512,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.848168,0.676692,0.762516
10.133.27.160,52260,117.187.144.225,443,0.011489,0.000000,0.076055,0.01865,0.007127,0.000000,0.076083,0.01635,0.004650,0.000000,0.075959,0.013103,0.195408,72978,4054.333333,512,64240,14597.168329,163615,6544.6,4081,65535,12041.365597,236593,5502.162791,512,65535,13228.890706,18,25,43,1.388812,92.114959,127.937444,220.052403,3252,180.666667,54,1288,296.154989,6852,274.08,60,1354,412.343247,10104,234.976744,54,1354,371.068005,2.10701,16642.102677,35065.094571,51707.197248,0,2,0,20,42,0,0,0,5,0,15,0,972,1350,2322,0.298801,0.196994,0.22981
10.133.27.160,52261,117.187.144.225,443,0.013933,0.000034,0.040659,0.014031,0.008610,0.000000,0.040570,0.013046,0.005805,0.000000,0.040520,0.011318,0.139430,69380,6307.272727,513,64240,18319.936945,118718,8479.857143,4091,65535,15824.249469,188098,7523.92,513,65535,17001.874181,11,14,25,1.272612,78.892634,100.408807,179.301441,1289,117.181818,54,572,145.873431,5763,411.642857,60,1354,504.79382,7052,282.08,54,1354,416.443122,4.470904,9244.782328,41332.568314,50577.350642,0,2,0,10,24,0,0,0,2,0,8,0,594,756,1350,0.460465,0.131159,0.191435
10.133.27.160,52262,202.115.39.6,53,0.011714,0.000016,0.041615,0.0154,0.012463,0.000000,0.041928,0.017092,0.005857,0.000000,0.041490,0.012172,0.058668,387996,64666.0,64240,65518,602.454978,146000,29200.0,29200,29200,0.0,533996,48545.090909,29200,65518,17665.175508,6,5,11,0.833194,102.270403,85.225336,187.495739,373,62.166667,54,89,12.733377,446,89.2,60,204,57.405226,819,74.454545,54,204,42.041892,1.195707,6357.810050,7602.099952,13959.910002,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.86631,0.604027,0.725275
10.133.27.160,52263,202.115.39.6,53,0.004729,0.000022,0.008055,0.003739,0.004064,0.000000,0.008334,0.002971,0.002364,0.000000,0.007985,0.003005,0.023744,387996,64666.0,64240,65518,602.454978,146000,29200.0,29200,29200,0.0,533996,48545.090909,29200,65518,17665.175508,6,5,11,0.833194,252.695418,210.579515,463.274933,373,62.166667,54,89,12.733377,446,89.2,60,204,57.405226,819,74.454545,54,204,42.041892,1.195707,15709.231806,18783.692722,34492.924528,2,2,0,3,10,0,0,0,2,0,1,0,324,270,594,0.86631,0.604027,0.725275
10.133.27.160,52264,202.115.39.6,53,0.005890,0.000076,0.008231,0.003368,0.004064,0.000000,0.008334,0.002971,0.002618,0.000000,0.008111,0.003082,0.023662,321012,64202.4,64146,64240,46.050407,146000,29200.0,29200,29200,0.0,467012,46701.2,29200,64240,17501.230293,5,5,10,0.9998,211.309272,211.309272,422.618544,319,63.8,54,89,13.362634,390,78.0,60,148,35.00857,709,70.9,54,148,27.431551,1.222567,13481.531570,16482.123236,29963.654806,2,2,0,3,9,0,0,0,2,0,1,0,270,270,540,0.84375,0.690537,0.761636
