time_!_source_ip_!_dest_ip_!_len_!_info_!_source_port_!_dest_port_!_protocol_!_tcp_seq_number_!_tcp_ack_number_!_tcp_window_size_!_tcp_flags_!_tcp_header_length_!_tcp_checksum_!_tcp_urgent_pointer_!_tcp_options_!_tcp_payload_!_udp_length_!_udp_checksum_!_udp_payload_!_icmp_type_!_icmp_code_!_icmp_checksum_!_icmp_id_!_icmp_seq_!_icmp_payload_!_label
2021-04-13 16:35:50_!_10.177.224.142_!_60.167.130.134_!_54_!_Ether / IP / TCP 10.177.224.142:50565 > 60.167.130.134:https A_!_50565_!_443_!_HTTPS_!_420664258_!_200846625_!_260_!_A_!_5_!_38708_!_0_!_[]_!_IP / TCP 10.177.224.142:50565 > 60.167.130.134:https A_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_unknown
2021-04-13 16:35:50_!_60.167.130.134_!_10.177.224.142_!_1502_!_Ether / IP / TCP 60.167.130.134:https > 10.177.224.142:50562 A / _TLSEncryptedContent_!_443_!_50562_!_HTTPS_!_1954853732_!_270750816_!_83_!_A_!_5_!_31533_!_0_!_[]_!_IP / TCP 60.167.130.134:https > 10.177.224.142:50562 A / _TLSEncryptedContent_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_unknown
2021-04-13 16:35:50_!_60.167.130.134_!_10.177.224.142_!_1502_!_Ether / IP / TCP 60.167.130.134:https > 10.177.224.142:50565 A / _TLSEncryptedContent_!_443_!_50565_!_HTTPS_!_200842281_!_420664258_!_83_!_A_!_5_!_29144_!_0_!_[]_!_IP / TCP 60.167.130.134:https > 10.177.224.142:50565 A / _TLSEncryptedContent_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_unknown
2021-04-13 16:35:50_!_60.167.130.134_!_10.177.224.142_!_1502_!_Ether / IP / TCP 60.167.130.134:https > 10.177.224.142:50566 A / _TLSEncryptedContent_!_443_!_50566_!_HTTPS_!_1351615893_!_2299289217_!_83_!_A_!_5_!_45607_!_0_!_[]_!_IP / TCP 60.167.130.134:https > 10.177.224.142:50566 A / _TLSEncryptedContent_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_unknown
2021-04-13 16:35:50_!_10.177.224.142_!_60.167.130.134_!_66_!_Ether / IP / TCP 10.177.224.142:50565 > 60.167.130.134:https A_!_50565_!_443_!_HTTPS_!_420664258_!_200846625_!_260_!_A_!_8_!_2866_!_0_!_[('NOP', None), ('NOP', None), ('SAck', (200842281, 200843729))]_!_IP / TCP 10.177.224.142:50565 > 60.167.130.134:https A_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_0_!_unknown
